candidate,model_sha256,session,phase,snapshot,total_pss_kb
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,6,53226
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,7,53246
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,8,53254
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,9,53280
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,10,53228
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,11,53230
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,12,52232
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,13,51027
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,14,51026
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,15,51028
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,4,baseline,1,217748
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,4,baseline,2,81397
